# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 1990-01-01 to 1999-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
1999-12-31 23:59:00,Bellflower,CA,Fireball
1999-12-31 23:59:00,"Sydney (NSW, Australia)",,Light
1999-12-31 23:55:00,"Rome (Vatican Square,Vatican City, on CNN live telecast)",,Disk
1999-12-31 23:50:00,"Gold Coast (QLD, Australia)",,Light
1999-12-31 23:48:00,"Keys/Ceres (between, right over Hyw 99)",CA,Changing
1999-12-31 23:47:00,Keys/Ceres (between),CA,Other
1999-12-31 23:42:00,Santee,CA,Formation
1999-12-31 23:30:00,Rockford,IL,Light
1999-12-31 23:20:00,Loves Park,IL,Circle
1999-12-31 22:00:00,Rockford,IL,Sphere
1999-12-31 20:30:00,Dover,FL,Circle
1999-12-31 19:30:00,Florissant (St. Louis),MO,Unknown
1999-12-31 17:30:00,Las Vegas,NV,Circle
1999-12-31 11:00:00,Cranbrook (Canada),BC,Unknown
1999-12-31 09:00:00,Cali (Colombia S.A.),,Fireball
1999-12-31 00:30:00,Sudbury (Canada),ON,Circle
1999-12-31 00:23:00,Newman Lake,WA,Other
1999-12-30 19:30:00,Gansevoort,NY,Sphere
1999-12-30 18:00:00,Winnipeg (Canada),MB,Diamond
1999-12-30 00:09:00,McMinnville,TN,Unknown
1999-12-29 21:45:00,Hong Kong (Lamma Island; PRC),,Other
1999-12-29 19:20:00,Huntington,WV,Light
1999-12-29 18:00:00,Denver,CO,
1999-12-29 17:50:00,Denver,CO,Chevron
1999-12-29 05:00:00,D'Hanis,TX,Unknown
1999-12-29 04:15:00,Stockbridge,GA,
1999-12-28 23:05:00,Lakeland,FL,Fireball
1999-12-28 22:00:00,Elisabeth,CO,Light
1999-12-28 22:00:00,SC/NC (I-85),SC,Fireball
1999-12-28 20:00:00,Saint Charles Township,IL,Triangle
1999-12-28 16:28:00,Kota Kinabalu/Sabah (Malaysia),,Disk
1999-12-28 05:13:00,Brigham City,UT,Fireball
1999-12-28 05:00:00,Sterling,IL,Disk
1999-12-28 02:00:00,Lake Shasta,CA,Light
1999-12-28 02:00:00,Dallas,TX,Unknown
1999-12-27 21:30:00,Salem,OR,Diamond
1999-12-27 19:30:00,Reno,NV,Sphere
1999-12-27 05:35:00,Hialeah,FL,Other
1999-12-27 00:00:00,South Berwick,ME,Light
1999-12-26 23:30:00,San Diego,CA,Triangle
1999-12-26 23:00:00,Ponchatoula,LA,Diamond
1999-12-26 23:00:00,Toowoomba (Australia),,Circle
1999-12-26 22:30:00,Portland,OR,Unknown
1999-12-26 22:30:00,Temple City,CA,Sphere
1999-12-26 21:00:00,Spring Creek,NV,Unknown
1999-12-26 20:25:00,Jamaica Estates,NY,Light
1999-12-26 20:25:00,Jamaica Estates,NY,Light
1999-12-26 20:00:00,New Orleans,LA,Light
1999-12-26 20:00:00,Boca Raton,FL,Light
1999-12-26 19:55:00,Larose,LA,
1999-12-26 19:30:00,Dallas/Grant Counties,AR,Fireball
1999-12-26 19:00:00,Springfield (South of),MO,Light
1999-12-26 18:12:00,Vancouver,WA,Unknown
1999-12-26 17:00:00,Sparks,NV,Triangle
1999-12-26 06:45:00,Huntington,WV,Unknown
1999-12-26 05:17:00,Lahore (Pakistan),,Cigar
1999-12-26 01:17:00,Deer Lake,PA,Light
1999-12-26 00:00:00,Gold Canyon,AZ,Light
1999-12-25 23:00:00,Mt Vernon,MO,Chevron
1999-12-25 22:30:00,Spring Hill,KS,Triangle
1999-12-25 19:30:00,Lake Elsinore,CA,Triangle
1999-12-25 19:30:00,Pleasanton,TX,Cigar
1999-12-25 19:30:00,Poughkeepsie,NY,Chevron
1999-12-25 11:40:00,Wellington,OH,Oval
1999-12-25 09:30:00,Mansfield,OH,Other
1999-12-25 04:00:00,Nashville,TN,Light
1999-12-25 03:30:00,Columbia,MO,Triangle
1999-12-24 23:55:00,Milton,TN,Triangle
1999-12-24 23:30:00,Armadale (Australia),,Cigar
1999-12-24 23:30:00,"Cupey (San Juan, Puerto Rico)",PR,Circle
1999-12-24 23:24:00,Youngstown,OH,Triangle
1999-12-24 21:00:00,Miami,FL,Circle
1999-12-24 11:00:00,Winnipeg (Canada),MB,Unknown
1999-12-24 07:45:00,Augusta,MT,Oval
1999-12-24 04:00:00,Atlantic City area (north or northeast of Hammonton),NJ,Light
1999-12-23 22:15:00,Howard,CO,Light
1999-12-23 20:30:00,Fulton,AR,Triangle
1999-12-23 19:20:00,Savannah,GA,Egg
1999-12-23 17:20:00,Norman,OK,Sphere
1999-12-23 17:00:00,"Moses Lake (West of, I-90)",WA,Other
1999-12-22 22:30:00,Baton Rouge,LA,Other
1999-12-22 19:15:00,White Sands,NM,Light
1999-12-22 19:14:00,Lackawaxen,PA,Triangle
1999-12-22 19:00:00,New York City (Brooklyn),NY,Unknown
1999-12-22 10:05:00,Hot Springs,AR,Flash
1999-12-22 07:30:00,Salt Lake City,UT,Formation
1999-12-22 07:00:00,Merrimac,WI,Diamond
1999-12-22 06:30:00,Clinton,IN,Light
1999-12-22 02:00:00,Jacksonville,FL,Disk
1999-12-21 22:20:00,Onodaga twp.,MI,Diamond
1999-12-21 20:00:00,Lakewood,CO,Disk
1999-12-21 17:00:00,Portland,OR,Light
1999-12-21 13:30:00,Seatac,WA,Sphere
1999-12-21 06:45:00,Toledo/Salkum (Between),WA,Oval
1999-12-21 03:00:00,Point Arena,CA,
1999-12-20 23:30:00,Trenton,IL,Light
1999-12-20 23:00:00,Eastern Passage (Canada),NS,Fireball
1999-12-20 22:00:00,Woodbridge,CT,Formation
1999-12-20 20:00:00,Murrieta,CA,Light
1999-12-20 18:54:00,Canton,MA,Circle
1999-12-20 18:00:00,Villetaneuse (France),,Triangle
1999-12-20 15:30:00,Sweden,,Fireball
1999-12-20 04:00:00,Browns Valley/Marysville (near Beale Air Force Base),CA,Disk
1999-12-20 01:00:00,Branford,CT,Light
1999-12-20 00:00:00,Sweden,,
1999-12-19 18:30:00,Kent,WA,Oval
1999-12-19 15:00:00,Rio Piedras,,Rectangle
1999-12-19 03:00:00,Spring Hill,TN,Changing
1999-12-19 02:30:00,Santa Fe,NM,Circle
1999-12-19 01:15:00,Houston,TX,Disk
1999-12-18 22:30:00,Groveland/Dillion (between),IL,Triangle
1999-12-17 23:15:00,Windser,CA,Changing
1999-12-17 22:15:00,Ashgrove,MO,Other
1999-12-17 19:00:00,Guayaquil (Ecuador),,
1999-12-17 17:00:00,Stockholm (Sweden),,Changing
1999-12-17 05:45:00,Marietta,GA,Light
1999-12-17 03:00:00,Charlotte,NC,Triangle
