# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 1905-01-01 to 1989-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
1989-12-31 23:00:00,Ocala,FL,Triangle
1989-12-25 23:00:00,Santiago (Chile),,Light
1989-12-24 23:45:00,Orrington,ME,Triangle
1989-12-24 01:00:00,Santiago (Chile),,Light
1989-12-23 20:00:00,Hockessin,DE,Sphere
1989-12-23 08:00:00,Chicago,IL,Disk
1989-12-22 03:00:00,Cicero,NY,Light
1989-12-17 22:00:00,Mosheim,TN,Oval
1989-12-16 00:00:00,Sunnyvale,CA,Other
1989-12-15 18:00:00,Glennwood,OR,Sphere
1989-12-13 23:00:00,Pineville,LA,Rectangle
1989-12-13 17:30:00,Tusayan,AZ,Disk
1989-12-12 07:00:00,Douglas Island,AK,Sphere
1989-12-10 22:00:00,Cape May,NJ,Sphere
1989-12-09 21:00:00,Cork (Republic of Ireland),,Changing
1989-12-04 01:55:00,Bushnell,FL,Triangle
1989-12-01 22:00:00,Independence,MO,Triangle
1989-12-01 21:00:00,Grand Canyon (North Rim),AZ,Formation
1989-12-01 19:00:00,Kansas City,MO,Other
1989-12-01 19:00:00,Vancleave,MS,Triangle
1989-12-01 17:30:00,Alvin,TX,Sphere
1989-11-28 18:35:00,Peace Vally,MO,Egg
1989-11-26 21:35:00,Dallas,TX,Triangle
1989-11-25 22:00:00,Monroe-Bastrop,LA,Unknown
1989-11-25 19:00:00,Theresa,WI,Triangle
1989-11-25 18:30:00,New Haven,CT,Cigar
1989-11-24 13:30:00,Davis,CA,Triangle
1989-11-24 12:00:00,Tallahassee,FL,Sphere
1989-11-22 21:00:00,Cooper City,FL,Triangle
1989-11-17 07:30:00,Ensenada (Mexico),,Disk
1989-11-15 23:00:00,Wolf Creek drainage (N of Hwy. 26),OR,Sphere
1989-11-15 23:00:00,Moca (Puerto Rico),PR,Unknown
1989-11-15 22:00:00,Currituck County,NC,Disk
1989-11-15 20:25:00,Dallas,TX,Changing
1989-11-15 18:00:00,San Antonio,TX,Diamond
1989-11-15 10:00:00,Iver Heath (xbridge.NWL ondon (Thames) (UK/England),,Other
1989-11-15 05:30:00,Dexter,NY,Disk
1989-11-14 20:00:00,Sapulpa,OK,Triangle
1989-11-14 19:00:00,Oklahoma (rural),OK,Sphere
1989-11-11 20:00:00,Dun Laoghaire (Republic of Ireland),,Disk
1989-11-11 11:00:00,Saskatoon (Canada),SA,Cigar
1989-11-11 05:30:00,Jamaica,,Cylinder
1989-11-10 23:00:00,Phoenix,AZ,Light
1989-11-07 19:30:00,Washburn,MO,Circle
1989-11-06 02:00:00,"Kingman (north of, Mt. Tipton Area)",AZ,Sphere
1989-11-05 02:00:00,Groom Lake,NV,Egg
1989-11-04 21:38:00,Paris,KY,Sphere
1989-11-01 20:00:00,Amesville/Falls Village,CT,Triangle
1989-10-31 18:30:00,El Jebel,CO,Unknown
1989-10-30 20:00:00,De Soto,MO,Oval
1989-10-25 18:45:00,Endako (Canada),BC,Unknown
1989-10-22 00:00:00,Fayetteville,NC,Fireball
1989-10-21 23:45:00,Dublin (Republic of Ireland),,Triangle
1989-10-20 00:00:00,Ottawa (Canada),ON,Circle
1989-10-20 18:30:00,Diamond Bar (on the 57),CA,Changing
1989-10-20 03:00:00,Newfoundland,PA,Other
1989-10-20 00:00:00,West Palm Beach,FL,Cylinder
1989-10-18 21:30:00,Shasta Lake,CA,Diamond
1989-10-18 21:00:00,Forest City,NC,Disk
1989-10-18 13:00:00,Wallingford,CT,Oval
1989-10-17 22:30:00,San Jose,CA,Flash
1989-10-17 21:00:00,San Jose,CA,Triangle
1989-10-17 19:00:00,Norwalk,CT,Triangle
1989-10-16 08:00:00,Tucson,AZ,Sphere
1989-10-15 23:00:00,Georgetown (Canada),ON,Oval
1989-10-15 22:00:00,Glennallen,AK,Unknown
1989-10-15 20:00:00,Mint Hill,NC,Triangle
1989-10-15 20:00:00,Bloomingdale,NJ,Sphere
1989-10-15 19:00:00,Batesville,AR,Disk
1989-10-15 10:30:00,Morgantown,WV,Triangle
1989-10-15 05:00:00,Hampton,VA,Cigar
1989-10-11 21:00:00,Kewanee,IL,Sphere
1989-10-11 21:00:00,Kewanee,IL,Sphere
1989-10-11 02:30:00,Copenhagen (Denmark),,Fireball
1989-10-10 22:00:00,Topsail Beach,NC,Light
1989-10-10 21:00:00,Kranklin,KY,Triangle
1989-10-10 21:00:00,Centralia,WA,Triangle
1989-10-10 00:00:00,Calabasas,CA,Disk
1989-10-07 23:00:00,Harrison,NY,Other
1989-10-07 00:00:00,Libya,,Circle
1989-10-01 21:30:00,Orono,ME,Disk
1989-10-01 21:30:00,Carmichael,CA,Rectangle
1989-10-01 20:00:00,Jacksonville,IL,Circle
1989-10-01 20:00:00,Pawling,NY,Oval
1989-10-01 18:00:00,Ft. Walton Beach,FL,Circle
1989-10-01 18:00:00,Winchester (near),KY,Oval
1989-10-01 16:00:00,MacKay,ID,Disk
1989-09-30 22:00:00,McAlpin,FL,Unknown
1989-09-29 06:15:00,Miami,FL,Chevron
1989-09-27 20:30:00,Oak Ridge (over classified Y12 facility),TN,Disk
1989-09-20 16:00:00,Sierra Madre,CA,Teardrop
1989-09-18 23:45:00,Stillwater,OK,Rectangle
1989-09-17 05:37:00,Grandview,MO,Circle
1989-09-15 23:35:00,Mt. Morris,NY,Rectangle
1989-09-15 22:30:00,Peekskill,NY,Unknown
1989-09-15 21:00:00,California desert/laughlin Nevada,CA,Light
1989-09-15 21:00:00,Austin,TX,Circle
1989-09-15 02:00:00,Rocky Point,NY,Unknown
1989-09-12 00:00:00,Englewood,FL,Other
1989-09-12 00:00:00,Waterloo,IA,Oval
1989-09-10 23:00:00,Kent Cliffs,NY,Disk
1989-09-10 21:10:00,Antalya (Turkey),,Rectangle
1989-09-06 19:00:00,Bellevue,WA,Sphere
1989-09-06 16:58:00,Palm Springs,CA,Disk
1989-09-03 04:00:00,Glennie,MI,Light
1989-09-02 18:30:00,DuQuoin,IL,Disk
1989-09-02 12:00:00,Pickering (Canada),ON,Triangle
1989-09-01 20:00:00,Cincinnati,OH,Triangle
1989-09-01 18:00:00,Hiddenite,NC,Disk
1989-09-01 14:00:00,Franklin,NC,Sphere
1989-09-01 00:00:00,Roswell,GA,
1989-08-30 20:05:00,Key West,FL,Teardrop
1989-08-24 23:45:00,Accokeek,MD,Unknown
1989-08-22 22:15:00,Grahamsville,NY,Rectangle
1989-08-20 14:00:00,North Kingstown,RI,Light
1989-08-19 12:00:00,Cleveland,OH,Disk
1989-08-18 12:00:00,Ft. Carson (near); I-25 south,NM,Disk
1989-08-16 02:00:00,Birmingham (UK/England),,Circle
1989-08-15 20:30:00,Highlands,NC,Other
1989-08-15 01:20:00,Tilburg (Netherlands),,Triangle
1989-08-15 01:00:00,Dayton,TX,Sphere
1989-08-15 00:00:00,St. Joseph,MO,Light
1989-08-11 18:00:00,Portsmouth,NH,Egg
1989-08-10 21:00:00,Gibraltar,,Other
1989-08-10 18:00:00,Novato,CA,Disk
1989-08-10 14:00:00,Tupelo,MS,Cylinder
1989-08-10 03:00:00,Martinsburg,WV,Triangle
1989-08-10 00:00:00,Redmond,OR,Triangle
1989-08-08 22:00:00,The Dalles,OR,Triangle
1989-08-08 20:00:00,Chappaqua,NY,Cylinder
1989-08-03 01:00:00,Corpus Christi,TX,Triangle
1989-08-01 23:30:00,Elk Park,NC,Triangle
1989-08-01 23:00:00,San Diego,CA,Formation
1989-08-01 16:00:00,Yountville,CA,Disk
1989-08-01 11:00:00,Clarksville,IN,Light
1989-07-27 23:00:00,Myrtle Beach,SC,Light
1989-07-26 22:00:00,Santa Rosa,CA,Sphere
1989-07-26 21:00:00,Beaverton,OR,Cylinder
1989-07-25 22:00:00,Jackson,NJ,Light
1989-07-25 20:00:00,Waterloo,IA,Sphere
1989-07-20 22:00:00,Nags Head,NC,Changing
1989-07-20 18:00:00,San Diego (Fire Mountain),CA,Cone
1989-07-17 22:00:00,Marion,IN,Disk
1989-07-15 22:30:00,Cape St. Claire,MD,Light
1989-07-15 22:00:00,Finland,,Circle
1989-07-15 21:00:00,Fresno,CA,Fireball
1989-07-15 20:00:00,Avilla,AR,Triangle
1989-07-15 06:00:00,St. Clair Shores,MI,Sphere
1989-07-15 03:00:00,Fire Mountain,NV,Triangle
1989-07-15 01:30:00,Defiance,OH,Triangle
1989-07-12 05:00:00,Sea Isle,NJ,Sphere
1989-07-10 23:00:00,Mansfield,OH,Light
1989-07-10 00:00:00,Daytona Beach,FL,Other
1989-07-09 20:20:00,Beardstown,IL,Circle
1989-07-09 07:00:00,Destin,FL,Fireball
1989-07-07 01:30:00,"Blyth (1hr outside of, before Tonopah, NV)",AZ,Rectangle
1989-07-06 02:30:00,Waterford,MI,Light
1989-07-05 23:30:00,Loveland,CO,Cigar
1989-07-04 21:00:00,Los Angelas,CA,Disk
1989-07-04 12:30:00,Morganton,NC,Sphere
1989-07-03 23:00:00,Belleville,KS,Triangle
1989-07-03 22:30:00,Lawrence,KS,Chevron
1989-07-01 23:00:00,Lovell,ME,Triangle
1989-07-01 22:00:00,Stony Point,NY,Triangle
1989-07-01 21:30:00,Berkshire,NY,Chevron
1989-07-01 21:00:00,Tupelo,MS,Disk
1989-07-01 20:00:00,Walterboro,SC,Circle
1989-07-01 17:30:00,Riyadh (Saudi Arabia),,Diamond
1989-07-01 15:00:00,Green Bay,WI,Circle
1989-07-01 14:00:00,Laramie,WY,Other
1989-07-01 03:30:00,Cedar Rapids,IA,Triangle
1989-07-01 01:00:00,Hebo,OR,Sphere
1989-06-30 22:30:00,None,CO,Other
1989-06-30 21:30:00,Coolidge,AZ,Triangle
1989-06-30 21:00:00,Banning,CA,Triangle
1989-06-30 21:00:00,Ellenville,NY,Other
1989-06-30 19:00:00,Bloomington,IL,Unknown
1989-06-30 19:00:00,Birmingham (UK/England),,Light
1989-06-30 16:00:00,Rathdrum,ID,Sphere
1989-06-30 01:00:00,Fort Jackson,SC,Triangle
1989-06-30 01:00:00,Des Moines,IA,Disk
1989-06-29 20:30:00,Peterborough Lakes (by Kawartha; Peterborough) (Canada),ON,Cigar
1989-06-25 23:59:00,Sparta,TN,Light
1989-06-23 22:00:00,Palm City,FL,Light
1989-06-21 20:30:00,Mississauga (Canada),ON,Triangle
1989-06-20 22:45:00,Albuquerque,NM,Formation
1989-06-20 21:30:00,London (UK/England),,Triangle
1989-06-20 01:00:00,Severna Park,MD,Unknown
1989-06-15 20:00:00,Bakersfield,CA,Disk
1989-06-15 22:00:00,Cashmere,WA,Unknown
1989-06-15 21:00:00,Patten,ME,Triangle
1989-06-15 21:00:00,Kiev (Ukraine),,Fireball
1989-06-15 20:30:00,Pensacola,FL,Unknown
1989-06-15 20:00:00,Rancho,CA,Unknown
1989-06-15 20:00:00,Brockton,MA,Disk
1989-06-15 18:15:00,Orem,UT,Formation
1989-06-15 13:00:00,Grassmere (Canada),BC,Egg
1989-06-15 02:00:00,Point Pleasant,WV,Unknown
1989-06-15 00:00:00,Kansas City,MO,Changing
1989-06-12 22:30:00,Houston,TX,Other
1989-06-12 17:00:00,Port Isabel,TX,Disk
1989-06-11 18:40:00,Sacramento,CA,Other
1989-06-07 22:00:00,Hooverson Heights,WV,Other
1989-06-06 02:00:00,Rheinland-Pfalz (Germany),,Sphere
1989-06-04 22:30:00,Adjuntas (Puerto Rico),,Disk
1989-06-04 22:30:00,Adjuntas (Puerto Rico),,Disk
1989-06-04 22:30:00,Adjuntas (Puerto Rico),,Disk
1989-06-02 21:00:00,Macon,GA,Circle
1989-06-01 00:00:00,New Mexico,NM,Sphere
1989-06-01 23:00:00,New York City,NY,Unknown
1989-06-01 23:00:00,Upper Marlboro,MD,Disk
1989-06-01 23:00:00,Roswell,NM,
1989-06-01 23:00:00,Enloe,TX,Triangle
1989-06-01 23:00:00,Zagreb (Croatia),,Fireball
1989-06-01 22:00:00,Vandalia,MO,Triangle
1989-06-01 22:00:00,South Elgin,IL,Unknown
1989-06-01 21:30:00,Wheelock,VT,Other
1989-06-01 21:00:00,Pittsfield,MA,Disk
1989-06-01 21:00:00,New Cumberland,PA,Rectangle
1989-06-01 20:00:00,Dallas (DFW Airport),TX,Cigar
1989-06-01 20:00:00,Hilo,HI,Unknown
