# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2016-01-01 to 2016-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2016-12-24 18:30:00,Waterbury,CT,Diamond
2016-12-24 18:00:00,Ludlow,MA,Formation
2016-12-24 17:45:00,Olympia,WA,Sphere
2016-12-24 16:45:00,Providence,RI,Circle
2016-12-24 01:00:00,Bellevue,WA,Flash
2016-12-24 00:18:00,Milford,CT,Diamond
2016-12-23 21:00:00,Mead/Thornton (between; on I-25),CO,Circle
2016-12-23 21:00:00,Aberdeen,SD,Light
2016-12-23 20:45:00,Simpsonville,SC,Other
2016-12-23 19:30:00,Woodridge,IL,Light
2016-12-23 19:00:00,Christiana,TN,Other
2016-12-23 18:10:00,Delta Junction,AK,Fireball
2016-12-23 17:30:00,Tucson,AZ,Formation
2016-12-23 17:15:00,Fresno,CA,Oval
2016-12-23 12:00:00,Melbourne (Australia),YT,Teardrop
2016-12-23 03:09:00,Clearwater,FL,Triangle
2016-12-22 21:30:00,New Brockton,AL,Light
2016-12-22 21:30:00,Girard,OH,Light
2016-12-22 18:40:00,Garland,TX,Light
2016-12-22 18:30:00,Deer River,MN,Light
2016-12-22 10:00:00,Evansville,IN,Circle
2016-12-22 03:00:00,Eden,ID,Flash
2016-12-22 01:24:00,Sandown,NH,Other
2016-12-21 21:45:00,Shrewsbury,PA,Other
2016-12-21 21:30:00,Hillsborough,NC,Fireball
2016-12-21 21:00:00,Fort Meade,MD,Triangle
2016-12-21 21:00:00,Redwood City,CA,Changing
2016-12-21 19:30:00,Cheltenham,PA,Light
2016-12-21 19:15:00,Waynesboro,VA,Sphere
2016-12-21 17:30:00,Springfield,MO,Oval
2016-12-21 07:15:00,Harrisonburg,LA,Circle
2016-12-21 07:08:00,East Peoria,IL,Other
2016-12-21 03:00:00,New York,NY,Circle
2016-12-21 00:00:00,Louisville,KY,Unknown
2016-12-20 22:30:00,Santa Rosa,CA,Sphere
2016-12-20 20:30:00,Sun City West,AZ,Fireball
2016-12-20 19:00:00,Fresno,CA,Circle
2016-12-20 16:15:00,Syracuse,NY,Circle
2016-12-19 21:53:00,Florence Jct./Reymart,AZ,Circle
2016-12-19 21:50:00,Redding,CA,Light
2016-12-19 20:02:00,Gilbert,AZ,Light
2016-12-19 19:02:00,Phoenix,AZ,Circle
2016-12-19 18:30:00,Huber Heights,OH,Cylinder
2016-12-19 18:00:00,Conway,AR,Chevron
2016-12-19 10:30:00,Anchorage,AK,Circle
2016-12-19 06:50:00,Town and Country,MO,Light
2016-12-19 03:30:00,Salt Lake City,UT,Triangle
2016-12-19 01:27:00,Richardson,TX,Triangle
2016-12-18 22:00:00,Wetaskiwin (Canada),AB,Light
2016-12-18 21:50:00,Berryville,AR,Formation
2016-12-18 21:15:00,Honolulu,HI,Light
2016-12-18 21:00:00,St. George,UT,Chevron
2016-12-18 20:40:00,Bend,OR,Other
2016-12-18 19:30:00,Mission,KS,Light
2016-12-18 19:00:00,Lancaster,OH,Light
2016-12-18 18:30:00,Great Falls,MT,Triangle
2016-12-18 17:14:00,Jeypore (India),,Other
2016-12-17 22:00:00,Auckland (New Zealand),,Triangle
2016-12-17 22:00:00,Auckland (New Zealand),,Triangle
2016-12-17 21:00:00,San Pedro,CA,Other
2016-12-17 20:00:00,San Diego,CA,Sphere
2016-12-17 20:00:00,Kahana,HI,Fireball
2016-12-17 19:53:00,Waipio,HI,Circle
2016-12-17 19:15:00,Ojai,CA,Oval
2016-12-17 07:30:00,Weston,FL,Circle
