# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2000-01-01 to 2015-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2015-12-23 21:00:00,Tucson,AZ,Fireball
2015-12-23 21:00:00,Kimberley (Canada),BC,Light
2015-12-23 20:50:00,Palm Bay,FL,Changing
2015-12-23 19:30:00,Rochester,NY,Diamond
2015-12-23 19:30:00,Grafton,WV,Light
2015-12-23 16:30:00,Toluca Lake,CA,Rectangle
2015-12-23 16:00:00,St. Charles,MO,Other
2015-12-23 08:15:00,Weymouth,MA,Sphere
2015-12-23 05:30:00,Springfield,MO,Formation
2015-12-23 04:00:00,Modesto,CA,Circle
2015-12-22 21:30:00,Harlansburgh,PA,Light
2015-12-22 20:28:00,San Tan Valley,AZ,Sphere
2015-12-22 19:43:00,Seattle,WA,Disk
2015-12-22 19:30:00,Queen Creek,AZ,Formation
2015-12-22 19:15:00,Queen Creek,AZ,Changing
2015-12-22 19:12:00,Bullhead City,AZ,Fireball
2015-12-22 19:05:00,Cedar City,UT,Other
2015-12-22 18:45:00,Goleta,CA,Fireball
2015-12-22 18:30:00,Menifee,CA,Fireball
2015-12-22 18:15:00,Bakersfield,CA,Fireball
2015-12-22 18:15:00,Palm Springs,CA,Fireball
2015-12-22 18:10:00,Susanville,CA,Sphere
2015-12-22 18:10:00,Huntington Beach,CA,Fireball
2015-12-22 18:10:00,Las Vegas,NV,Fireball
2015-12-22 18:10:00,Moorpark,CA,Light
2015-12-22 18:10:00,Sky Valley,CA,Cigar
2015-12-22 18:09:00,Las Vegas,NV,Light
2015-12-22 18:08:00,Desert Hot Springs,CA,Cylinder
2015-12-22 18:08:00,Lafayette,CA,Unknown
2015-12-22 18:05:00,Las Vegas,NV,Other
2015-12-22 18:05:00,Boulder City,NV,Fireball
2015-12-22 18:05:00,Vacaville,CA,Changing
2015-12-22 18:05:00,Las Vegas,NV,Cigar
2015-12-22 18:05:00,Napa,CA,Fireball
2015-12-22 18:05:00,Sonoma,CA,Cone
2015-12-22 18:00:00,Bullhead City,AZ,Fireball
2015-12-22 16:50:00,Elizabeth,NJ,Diamond
2015-12-21 22:15:00,Troutman,NC,Light
2015-12-21 21:00:00,Santa Fe,NM,Circle
2015-12-21 20:45:00,Kissimmee,FL,Circle
2015-12-21 20:23:00,Jacksonville,FL,Rectangle
2015-12-21 20:03:00,Lakewood,CO,Diamond
2015-12-21 19:35:00,Aurora,CO,Circle
2015-12-21 18:30:00,Dunedin,FL,Triangle
2015-12-21 18:15:00,Fairfield,CA,Circle
2015-12-21 07:30:00,Costa Mesa,CA,Oval
2015-12-21 06:50:00,Hartebeespoortdam (South Africa),,Disk
2015-12-20 23:23:00,Attelboro,MA,Other
2015-12-20 23:10:00,Middleboro,MA,Triangle
2015-12-20 22:45:00,Bear,DE,Light
2015-12-20 22:29:00,Four Oaks,NC,Light
2015-12-20 22:29:00,Four Oaks,NC,Light
2015-12-20 22:00:00,Sabinas Hidalgo (Mexico),,Circle
2015-12-20 22:00:00,Surrey,ND,Light
2015-12-20 21:45:00,Bear,DE,Light
2015-12-20 21:00:00,Berwyn,IL,Triangle
2015-12-20 20:39:00,Surprise,AZ,Oval
2015-12-20 20:00:00,Angola,NY,Cigar
2015-12-20 19:00:00,Schnecksville,PA,Light
2015-12-20 15:22:00,St. Paul,MN,Circle
2015-12-20 13:30:00,York Valley,AZ,Sphere
2015-12-20 03:00:00,Gorham,ME,Light
2015-12-20 01:00:00,Santa Fe,NM,Light
2015-12-19 23:55:00,Derry,NH,Light
2015-12-19 23:50:00,Plymouth,MA,Unknown
2015-12-19 23:00:00,Orlando,FL,Formation
2015-12-19 22:00:00,Ponte Vedra Beach,FL,Sphere
2015-12-19 21:00:00,Annapolis,MD,Unknown
2015-12-19 20:50:00,McComb,OH,Triangle
2015-12-19 19:30:00,Whitesburg,GA,Other
2015-12-19 18:05:00,Victoria (Canada),BC,Light
2015-12-19 17:45:00,St. Petersburg,FL,Unknown
2015-12-19 17:00:00,Elizabeth City,NC,Fireball
2015-12-19 16:00:00,Sanford,FL,Circle
2015-12-19 10:48:00,Ponte Vedra,FL,Triangle
2015-12-18 21:00:00,Kingsland,GA,Sphere
2015-12-18 20:00:00,Colorado Springs,CO,Diamond
2015-12-18 18:00:00,Belleville,IL,Teardrop
2015-12-18 17:35:00,Philadelphia,MS,Other
2015-12-18 13:00:00,Sonoma,CA,Sphere
2015-12-18 05:31:00,Taos,NM,Light
2015-12-18 05:00:00,Beaverton,OR,Light
2015-12-18 01:30:00,Anchorage,AK,Unknown
2015-12-17 23:00:00,Milwaukie,OR,Oval
2015-12-17 23:00:00,Pope,MS,Triangle
2015-12-17 21:30:00,North Minneapolis,MN,Light
2015-12-17 19:50:00,Baton Rouge,LA,Circle
2015-12-17 19:00:00,Madison,MS,Disk
2015-12-17 18:50:00,Madison,MS,Sphere
2015-12-17 18:30:00,Ventura,CA,Light
2015-12-17 18:00:00,Petaluma,CA,Light
2015-12-17 17:38:00,Arabi,GA,Other
2015-12-17 17:30:00,Victoria,TX,Cigar
2015-12-17 16:00:00,Friendship,WI,Flash
2015-12-17 15:30:00,Melbourne (Geelong)(Victoria)(Australia),,Disk
2015-12-17 11:00:00,Port Isabel,TX,Cylinder
2015-12-17 08:35:00,Lee,MA,Formation
2015-12-17 06:20:00,Cumming,GA,Fireball
2015-12-17 06:15:00,Dayton,OH,Disk
2015-12-17 01:00:00,Chandler,AZ,Oval
2015-12-16 23:54:00,Kenmore,NY,Light
2015-12-16 23:00:00,Fairfax,VA,Circle
2015-12-16 20:33:00,St. Paul,MN,Cigar
2015-12-16 19:15:00,Pembroke Pines,,Diamond
2015-12-16 18:35:00,New Boston,TX,Light
2015-12-16 05:35:00,Michigan City,IN,Light
2015-12-16 00:00:00,Pineville,LA,Circle
2015-12-15 22:33:00,Mountatin Top,PA,Rectangle
2015-12-15 21:06:00,Port Charlotte,FL,Oval
2015-12-15 20:30:00,Raleigh,NC,Formation
2015-12-15 19:10:00,Mesa,AZ,Light
2015-12-15 19:00:00,Ewing,NJ,Fireball
2015-12-15 17:45:00,Millsboro,DE,Formation
2015-12-15 17:38:00,Oakland,KY,Light
2015-12-15 13:30:00,San Pedro,CA,Disk
2015-12-15 08:30:00,Penndel,PA,Sphere
2015-12-15 06:55:00,Spanaway,WA,Oval
2015-12-15 06:30:00,San Diego,CA,Unknown
2015-12-15 06:30:00,Otay Mesa,CA,Oval
2015-12-15 05:32:00,Robbinsville,NJ,Fireball
2015-12-15 03:30:00,Larned,KS,Formation
2015-12-15 03:00:00,Loxahatchee,FL,Light
2015-12-15 02:05:00,Hattiesburg,MS,Oval
2015-12-15 01:20:00,Bellingham,WA,Triangle
2015-12-15 01:00:00,Camden,MI,Light
2015-12-15 01:00:00,New Haven (Fair Haven/East Haven),CT,Light
2015-12-14 23:59:00,San Leandro,CA,Triangle
2015-12-14 23:59:00,Franklin,TN,Flash
2015-12-14 22:40:00,San Jose,CA,Unknown
2015-12-14 22:17:00,Broken Arrow,OK,Other
2015-12-14 21:15:00,Dothan (general area),AL,Fireball
2015-12-14 21:00:00,Wichita,KS,Light
2015-12-14 21:00:00,Golden,CO,Light
2015-12-14 20:00:00,Durham,NC,Disk
2015-12-14 20:00:00,,,
2015-12-14 20:00:00,Elk City,OK,Sphere
2015-12-14 20:00:00,Lynnville,TN,Circle
2015-12-14 20:00:00,Elk City,OK,Fireball
2015-12-14 19:30:00,Milwaukee (north of),WI,Cigar
2015-12-14 19:00:00,Russell Springs,KY,Light
2015-12-14 19:00:00,Antioch,CA,Fireball
2015-12-14 19:00:00,Madison,MS,Sphere
2015-12-14 19:00:00,Jasper,GA,Fireball
2015-12-14 18:30:00,Gilbert,AZ,Light
2015-12-14 16:00:00,Lenoir City,TN,Cylinder
2015-12-14 04:45:00,Hillsboro,OR,Fireball
2015-12-14 01:00:00,Preston,MD,Triangle
2015-12-14 00:00:00,Youghal (Ireland),,Unknown
2015-12-13 23:00:00,Aurora,CO,Other
2015-12-13 23:00:00,Shelton,WA,Unknown
2015-12-13 21:00:00,Trenton,FL,Unknown
2015-12-13 20:30:00,Phoenix,AZ,Fireball
2015-12-13 20:00:00,Deer Park,WA,Fireball
2015-12-13 19:10:00,Mooresville,NC,Light
2015-12-13 19:10:00,Mooresville,NC,Light
2015-12-13 17:50:00,Musquodoboit Harbor (Canada),NS,
2015-12-13 17:20:00,Centennial,CO,Fireball
2015-12-13 13:45:00,Fogelsville,PA,Unknown
2015-12-13 06:56:00,Columbus,OH,
2015-12-13 00:10:00,Wilmington,NC,Light
2015-12-12 23:00:00,Hamburg,MI,Oval
2015-12-12 22:30:00,Aberdeen,MD,Rectangle
2015-12-12 22:00:00,Troutman,NC,Diamond
2015-12-12 21:30:00,Winnipeg (Canada),MB,Circle
