# The data on UFO sightings was scraped from the monthly 
# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2017-01-01 to 2017-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2017-06-03 23:30:00,Amboy,IN,Light
2017-06-03 23:30:00,Durham,NC,Circle
2017-06-03 23:30:00,Benson,AZ,Light
2017-06-03 23:20:00,Elk River,MN,Fireball
2017-06-03 23:10:00,Montoursville,PA,Light
2017-06-03 22:55:00,Nashville,TN,Circle
2017-06-03 17:02:00,Fullerton,CA,Circle
2017-06-03 12:55:00,Carbondale,IN,Oval
2017-06-03 12:30:00,Janesville,WI,
2017-06-03 08:30:00,Brighton,MI,Oval
2017-06-03 08:30:00,South Myrtle Beach,SC,Disk
2017-06-03 03:55:00,Nashville,IL,Cylinder
2017-06-03 01:00:00,Pearisburg,VA,Formation
2017-06-03 00:30:00,Honeyville,UT,Unknown
2017-06-02 22:45:00,Boardman,OH,Diamond
2017-06-02 22:30:00,Grand Junction,CO,Unknown
2017-06-02 22:00:00,Adrian,MI,Light
2017-06-02 21:20:00,Myrtle Beach,SC,Fireball
2017-06-02 21:15:00,Lake Havasu City,AZ,Egg
2017-06-02 20:00:00,Bethulie (South Africa),,Circle
2017-06-02 15:10:00,Roanoke,VA,Cylinder
2017-06-02 05:26:00,Versailles,KY,Disk
2017-06-02 04:10:00,Edison,NJ,Diamond
2017-06-02 03:18:00,Iloilo (Philippines),,Diamond
2017-06-01 21:25:00,Rowley,MA,Fireball
2017-06-01 20:00:00,Jacksonville,FL,Formation
2017-06-01 19:35:00,Perryville,MD,Unknown
2017-06-01 13:18:00,Columbus,OH,
2017-06-01 10:35:00,Calais (France),,Flash
2017-06-01 03:35:00,Mountain Top,PA,Light
2017-05-31 23:30:00,Long Beach,MS,Oval
2017-05-31 22:00:00,Oxford,MS,Other
2017-05-31 21:20:00,Saint Peter,MN,Light
2017-05-31 18:52:00,Slingerlands,NY,Triangle
2017-05-31 10:45:00,Arden Hills,MN,Other
2017-05-31 10:00:00,Colorado Springs,CO,Unknown
2017-05-31 05:00:00,Las Vegas,NV,Rectangle
2017-05-31 04:45:00,Oak Grove,MN,Circle
2017-05-31 04:00:00,Norman,OK,Sphere
2017-05-31 01:14:00,Wahpeton,ND,Fireball
2017-05-31 00:00:00,Sacramento,CA,Light
2017-05-30 23:25:00,Provo,UT,Light
2017-05-30 22:20:00,Las Vegas,NV,Light
2017-05-30 21:15:00,Anniston,AL,Triangle
2017-05-30 21:15:00,Gila Bend,AZ,Other
2017-05-30 12:20:00,Riverside,CA,Other
2017-05-30 04:25:00,Macedon,NY,Circle
2017-05-30 01:45:00,Birch Tree,MO,Light
2017-05-29 23:00:00,Buffalo,NY,Fireball
2017-05-29 21:00:00,Sugar Hill,GA,Triangle
2017-05-29 21:00:00,Phoenix,AZ,Oval
2017-05-29 20:45:00,Colorado Springs,CO,Cigar
2017-05-29 16:45:00,Topeka,KS,Diamond
2017-05-29 16:00:00,Monroe,MI,Sphere
2017-05-29 05:15:00,Kewanee,IL,Changing
2017-05-29 03:30:00,Northvale,NJ,Circle
2017-05-28 22:50:00,Wonder Lake,IL,Light
2017-05-28 22:30:00,Seattle,WA,Circle
2017-05-28 21:50:00,Oak Lawn,IL,Light
2017-05-28 21:00:00,Auburn,MA,Unknown
2017-05-28 20:56:00,Eminence,MO,Circle
2017-05-28 20:00:00,El Mirage,AZ,Light
2017-05-28 18:53:00,Malibu,CA,Sphere
2017-05-28 16:15:00,Camas,WA,Sphere
2017-05-28 10:30:00,Sutherlin,OR,Rectangle
2017-05-28 09:00:00,Delano,CA,Fireball
2017-05-28 05:00:00,St. Ann,MO,Oval
2017-05-28 00:53:00,Carlsbad,CA,Fireball
2017-05-27 23:00:00,Newark,NJ,Circle
2017-05-27 23:00:00,Marine park Bklyn,NY,Light
2017-05-27 22:30:00,Keego Harbor,MI,Triangle
2017-05-27 22:00:00,Clarence,NY,Changing
2017-05-27 21:15:00,San Diego,CA,Light
2017-05-27 21:04:00,Oakland,CA,Circle
2017-05-27 21:04:00,Oakland,CA,Circle
2017-05-27 21:00:00,Spring,TX,Circle
2017-05-27 20:00:00,Sierra Vista,AZ,Circle
2017-05-27 20:00:00,Corona,CA,Light
2017-05-27 14:00:00,South Easton,MA,Oval
2017-05-27 12:00:00,Dolton,IL,
2017-05-27 10:56:00,Randolph,NJ,Circle
2017-05-27 10:30:00,Seattle,WA,Unknown
2017-05-27 09:00:00,Marysville,MI,Circle
2017-05-27 03:35:00,Venice,FL,Triangle
2017-05-27 02:45:00,Delmont,NJ,Circle
2017-05-27 02:00:00,San Antonio,TX,Circle
2017-05-27 00:35:00,Orland Park,IL,Light
2017-05-26 23:00:00,Sooke (Canada),BC,Circle
2017-05-26 23:00:00,San Clemente,CA,Circle
2017-05-26 03:00:00,Salt Lake City,UT,Light
2017-05-25 22:33:00,Shakopee,MN,Circle
2017-05-25 22:30:00,Floresville,TX,Fireball
2017-05-25 22:30:00,Victor,ID,Light
2017-05-25 19:15:00,Friendswood,TX,Unknown
2017-05-25 18:00:00,Camden,NJ,Rectangle
2017-05-25 03:00:00,West Pasco,WA,Cylinder
2017-05-25 02:00:00,Portland,OR,Unknown
2017-05-25 02:00:00,Gujranwala (Pakistan),,
2017-05-24 23:15:00,Pace,FL,Disk
2017-05-24 22:30:00,Fort Collins,CO,
2017-05-24 22:30:00,Lincoln,NE,Circle
2017-05-24 21:40:00,"Beccles, Suffolk. (UK/England)",,Sphere
2017-05-24 21:00:00,Pine Bluff,AR,Light
2017-05-24 07:12:00,Bryan,TX,Sphere
2017-05-24 01:30:00,Fontana,CA,Light
2017-05-24 01:03:00,Brewster,WA,Circle
2017-05-24 00:30:00,Redondo Beach,CA,Sphere
2017-05-23 23:27:00,Northfield,NH,Changing
2017-05-23 22:50:00,Crosshill (Ayrshire)(UK/Scotland),,Circle
2017-05-23 22:00:00,Elk Grove,CA,Unknown
2017-05-23 20:50:00,Webster,NY,Fireball
2017-05-23 20:00:00,Greece,NY,Oval
2017-05-23 19:30:00,Globe,AZ,Unknown
2017-05-23 04:45:00,North Salt Lake,UT,Light
2017-05-22 23:18:00,Golden,CO,Light
2017-05-22 22:45:00,Kalama,WA,Light
2017-05-22 17:30:00,Lovington,NM,Other
2017-05-22 11:30:00,Castro Valley,CA,Oval
2017-05-22 09:45:00,St. Louis County,MO,Unknown
2017-05-22 04:10:00,Sumner,WA,Light
2017-05-22 04:00:00,Bardwell,KY,Circle
2017-05-22 04:00:00,Lincoln City,OR,Oval
2017-05-22 01:30:00,Los Gatos Mountains,CA,Light
2017-05-22 00:08:00,Madera,CA,Light
2017-05-21 23:48:00,Wilmington,IL,Flash
2017-05-21 23:02:00,Delaware,OH,Light
2017-05-21 22:42:00,Calgary (Canada),AB,Circle
2017-05-21 22:30:00,Landers,CA,Diamond
2017-05-21 22:30:00,Landers,CA,Light
2017-05-21 22:00:00,Landers (Yucca Valley),CA,Diamond
2017-05-21 22:00:00,Belen,NM,Other
2017-05-21 22:00:00,Landers,CA,Diamond
2017-05-21 21:45:00,Landers,CA,Sphere
2017-05-21 21:41:00,Sacramento,CA,Rectangle
2017-05-21 19:44:00,Vancouver,WA,Diamond
2017-05-21 13:00:00,Jonesborough,TN,Cigar
2017-05-21 13:00:00,Long Beach,CA,Light
2017-05-21 00:00:00,Spanaway,WA,Circle
2017-05-20 22:30:00,Silver Lake,KS,Triangle
2017-05-20 22:00:00,Pleasant Hill,CA,Cylinder
2017-05-20 21:02:00,Mechanicsville,VA,Fireball
2017-05-20 21:00:00,Gallup,NM,Sphere
2017-05-20 21:00:00,Las Cruces,NM,Cylinder
2017-05-20 19:00:00,Long Beach,CA,Light
2017-05-20 13:40:00,Goleta,CA,Other
2017-05-20 12:15:00,San Bernardino,CA,Sphere
2017-05-20 12:00:00,Santa Fe,NM,Other
2017-05-20 10:39:00,Philadelphia,PA,Circle
2017-05-20 08:30:00,Bozra,CT,Disk
2017-05-19 21:20:00,New Windsor,NY,Circle
2017-05-19 21:17:00,Wilkes-Barre,PA,Fireball
2017-05-19 21:17:00,Wilkes-Barre,PA,Fireball
2017-05-19 17:49:00,Quincy,WA,Triangle
2017-05-19 17:00:00,Everett,WA,Triangle
2017-05-19 10:49:00,Superior,AZ,Circle
2017-05-19 10:36:00,Hillsboro,OR,Other
2017-05-18 22:00:00,"Weare ,",NH,Chevron
2017-05-18 21:18:00,Old Bridge,NJ,Disk
2017-05-18 21:00:00,Conway,SC,Diamond
2017-05-18 21:00:00,Lubbock,TX,Light
2017-05-18 20:55:00,san jose,CA,Disk
2017-05-18 20:50:00,Paragould,AR,Cylinder
2017-05-18 20:45:00,Santa Rosa,CA,Light
2017-05-18 15:25:00,North Charleston,SC,Unknown
2017-05-18 15:15:00,Bowie,MD,Light
2017-05-18 12:21:00,Spokane Valley,WA,Triangle
2017-05-18 06:00:00,Wilmington,DE,Unknown
2017-05-18 00:00:00,Claremore,OK,Other
2017-05-18 00:00:00,Des Plaines,IL,Unknown
2017-05-17 22:00:00,Lutton (UK/England),,Light
2017-05-17 22:00:00,Edwardsville,IL,Unknown
2017-05-17 21:30:00,Tucson,AZ,Circle
2017-05-17 21:00:00,New Milford,CT,Sphere
2017-05-17 19:00:00,Wilmington,NC,Sphere
2017-05-17 15:15:00,White Marsh,MD,Rectangle
2017-05-17 13:24:00,Hoboken,NJ,Oval
2017-05-17 12:00:00,Kiev (Ukraine),,Sphere
2017-05-17 10:55:00,Milton,VT,Light
