# S&P 500 companies
"ticker","callsign","company","sector"
"TSCO","NASDAQ:TSCO","Tractor Supply Company","Consumer Discretionary"
"TDG","NYSE:TDG","TransDigm Group","Industrials"
"RIG","NYSE:RIG","Transocean","Energy"
"TRV","NYSE:TRV","The Travelers Companies Inc.","Financials"
"TRIP","NASDAQ:TRIP","TripAdvisor","Consumer Discretionary"
"FOXA","NASDAQ:FOXA","Twenty-First Century Fox Class A","Consumer Discretionary"
"FOX","NASDAQ:FOX","Twenty-First Century Fox Class B","Consumer Discretionary"
"TSN","NYSE:TSN","Tyson Foods","Consumer Staples"
"UDR","NYSE:UDR","UDR Inc","Real Estate"
"ULTA","NASDAQ:ULTA","Ulta Salon Cosmetics & Fragrance Inc","Consumer Discretionary"
"USB","NYSE:USB","U.S. Bancorp","Financials"
"UA","NYSE:UA","Under Armour Class C","Consumer Discretionary"
"UAA","NYSE:UAA","Under Armour Class A","Consumer Discretionary"
"UNP","NYSE:UNP","Union Pacific","Industrials"
"UAL","NYSE:UAL","United Continental Holdings","Industrials"
"UNH","NYSE:UNH","United Health Group Inc.","Health Care"
"UPS","NYSE:UPS","United Parcel Service","Industrials"
"URI","NYSE:URI","United Rentals, Inc.","Industrials"
"UTX","NYSE:UTX","United Technologies","Industrials"
"UHS","NYSE:UHS","Universal Health Services, Inc.","Health Care"
"UNM","NYSE:UNM","Unum Group","Financials"
"VFC","NYSE:VFC","V.F. Corp.","Consumer Discretionary"
"VLO","NYSE:VLO","Valero Energy","Energy"
"VAR","NYSE:VAR","Varian Medical Systems","Health Care"
"VTR","NYSE:VTR","Ventas Inc","Real Estate"
"VRSN","NASDAQ:VRSN","Verisign Inc.","Information Technology"
"VRSK","NASDAQ:VRSK","Verisk Analytics","Industrials"
"VZ","NYSE:VZ","Verizon Communications","Telecommunication Services"
"VRTX","NASDAQ:VRTX","Vertex Pharmaceuticals Inc","Health Care"
"VIAB","NASDAQ:VIAB","Viacom Inc.","Consumer Discretionary"
"V","NYSE:V","Visa Inc.","Information Technology"
"VNO","NYSE:VNO","Vornado Realty Trust","Real Estate"
"VMC","NYSE:VMC","Vulcan Materials","Materials"
"WMT","NYSE:WMT","Wal-Mart Stores","Consumer Staples"
"WBA","NASDAQ:WBA","Walgreens Boots Alliance","Consumer Staples"
"DIS","NYSE:DIS","The Walt Disney Company","Consumer Discretionary"
"WM","NYSE:WM","Waste Management Inc.","Industrials"
"WAT","NYSE:WAT","Waters Corporation","Health Care"
"WEC","NYSE:WEC","Wec Energy Group Inc","Utilities"
"WFC","NYSE:WFC","Wells Fargo","Financials"
"HCN","NYSE:HCN","Welltower Inc.","Real Estate"
"WDC","NASDAQ:WDC","Western Digital","Information Technology"
"WU","NYSE:WU","Western Union Co","Information Technology"
"WRK","NYSE:WRK","WestRock Company","Materials"
"WY","NYSE:WY","Weyerhaeuser Corp.","Real Estate"
"WHR","NYSE:WHR","Whirlpool Corp.","Consumer Discretionary"
"WFM","NASDAQ:WFM","Whole Foods Market","Consumer Staples"
"WMB","NYSE:WMB","Williams Cos.","Energy"
"WLTW","NASDAQ:WLTW","Willis Towers Watson","Financials"
"WYN","NYSE:WYN","Wyndham Worldwide","Consumer Discretionary"
"WYNN","NASDAQ:WYNN","Wynn Resorts Ltd","Consumer Discretionary"
"XEL","NYSE:XEL","Xcel Energy Inc","Utilities"
"XRX","NYSE:XRX","Xerox Corp.","Information Technology"
"XLNX","NASDAQ:XLNX","Xilinx Inc","Information Technology"
"XL","NYSE:XL","XL Capital","Financials"
"XYL","NYSE:XYL","Xylem Inc.","Industrials"
"YUM","NYSE:YUM","Yum! Brands Inc","Consumer Discretionary"
"ZBH","NYSE:ZBH","Zimmer Biomet Holdings","Health Care"
"ZION","NASDAQ:ZION","Zions Bancorp","Financials"
"ZTS","NYSE:ZTS","Zoetis","Health Care"
